Date,Cash,Allocated PNL,Allocated % PNL,Allocated,Total PNL,Total % PNL,Total
2023-09-26,0.0,37210.216,0.0,50000,-12789.784,-0.256,37210.216
2023-09-27,0.0,38369.327,0.0,50000,-11630.673,-0.233,38369.327
2023-09-28,88352.681,0.0,0.0,,-50000.0,-1.0,0.0
2023-09-29,88352.681,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-02,88352.681,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-03,88352.681,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-04,88352.681,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-05,88352.681,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-06,0.0,3142.817,0.0,88352.681,-46857.183,-0.937,3142.817
2023-10-09,0.0,2165.181,0.0,88352.681,-47834.819,-0.957,2165.181
2023-10-10,0.0,3214.788,0.0,88352.681,-46785.212,-0.936,3214.788
2023-10-11,0.0,5230.027,0.0,88352.681,-44769.973,-0.895,5230.027
2023-10-12,0.0,5507.922,0.0,88352.681,-44492.078,-0.89,5507.922
2023-10-13,0.0,2541.039,0.0,88352.681,-47458.961,-0.949,2541.039
2023-10-16,0.0,3808.566,0.0,88352.681,-46191.434,-0.924,3808.566
2023-10-17,0.0,-503.811,0.0,88352.681,-50503.811,-1.01,-503.811
2023-10-18,0.0,-3986.498,0.0,88352.681,-53986.498,-1.08,-3986.498
2023-10-19,0.0,-4176.421,0.0,88352.681,-54176.421,-1.084,-4176.421
2023-10-20,0.0,-5603.884,0.0,88352.681,-55603.884,-1.112,-5603.884
2023-10-23,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-24,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-25,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-26,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-27,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-30,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
